KRITAPIXEL_QUEST_NAME,Pixel Art - Drawing with Squares,,,,
KRITAPIXEL_QUEST_SUBTITLE,What you'll do,,,,
KRITAPIXEL_QUEST_DESCRIPTION,"In this activity, you'll learn how to make ""pixel art"" in Krita, using special brushes and following a guide to create a smiley face (or frowny face).",,,,
KRITAPIXEL_1,"Have you ever heard of <b>Pixel Art</b>? If you've ever seen or played an old game from the early days of gaming, you might know about it. It's that blocky art style - kind of like what things look like in Minecraft. It's easy to learn, so come on into Krita with me!",daemon2,,,
KRITAPIXEL_2,"Once Krita's open, let's make a <b>New File</b>! Set the <b>Width</b> to <b>50 pixels</b>, set the <b>Height</b> to <b>50 pixels</b> too, then click <b>Create</b>!",daemon2,,,
KRITAPIXEL_3,"You might be wondering what a <b>pixel</b> actually is, though. It's the smallest dot of color that your computer screen can show! If you look really, really closely at your screen, you might be able to see that it's all made up of tiny squares! Try looking at the date and time down in the lower right corner - that's where it's usually easiest to see.",daemon2,,,
KRITAPIXEL_4,"A long time ago, computers couldn't draw tons of <b>pixels</b> on the screen at once - they were really slow! Artists had to get really good at making things look sort-of-right with very, very few pixels, and limited colors. There's a fun challenge, though, in figuring out how to do a lot with only a little!",daemon2,,,
KRITAPIXEL_5,"So, we're going to draw with those tiny squares and make tiny image! Let's get a better idea of how small our current drawing is - Go to the <b>Settings</b> menu, then <b>Dockers</b>, then select <b>Grid & Guides</b>. ",daemon2,,,
KRITAPIXEL_6,"When the <b>Grids & Guides</b> Docker appears, set the <b>X Spacing</b> to 1 px (1 pixel). It will automatically set the same for the Y spacing. Set the <b>Subdivision</b> to 1, too. Finally, <b>check</b> the box next to <b>Show grid</b>. This gives us lines that show us where all the pixels are!",daemon2,,,
KRITAPIXEL_7,"Today we're going to draw a happy face (or a frowny face if you prefer). First, we need a large circle. ",daemon2,,,
KRITAPIXEL_8,"Go to the <b>Brush Presets</b> Docker (remember, if it's not open, go to <b>Settings → Dockers</b>), and use the dropdown menu to select <b>Pixel Art</b>. The Krita team has tools for this kind of project, too! For now, select the preset on the far right, the one that shows 2 circles as a sample. This brush will let us draw a large circle.",daemon2,,,
KRITAPIXEL_9,"Play around with the circle brush - remember, <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Ctrl + Z</span></tt> is <b>Undo</b>! Get your circle looking how you want it - and don't forget to set the color!",daemon2,,,
